violationnumber,violationtype,form,violationdate,casenumber,casetype,officer,violationjurisdiction,court,docket,appearancedate,outcomedate,outcomestat,receipt,offense,ObjectId
V24-023570,CITATION,P405616,2024/01/23 23:51:00+00,A24-125313-3,TRANSPORT ANIMAL,OFFICER ASHLEY,40211,02/13/24,,,,,,91.002,9881
V22-019019,VOTC/CITE,VR22-252172,2022/06/17 21:37:00+00,,,,40218,07/05/22,P193851,2022/06/17 17:37:00,,CONV CITA,R22-252172,91.071,9882
V22-019031,VET,01-50643,2022/06/19 18:26:00+00,,,,40218,,,2022/06/21 00:00:00,2022/06/23 00:00:00,DISMISSED,,91.090,9883
V21-016379,VIOL CTER,VR21-216569,2021/06/11 21:26:00+00,,,,40218,,,2021/06/11 17:26:00,2021/06/11 00:00:00,COMPLIED,R21-216569,91.002,9884
V20-015101,V71/CP,04-3731,2021/03/08 18:05:00+00,A20-085232-1,TRANSPORT ANIMAL,OFFICER STEWART,40216,03/18/21,V20-015101,2021/02/05 00:00:00,,HAND ADMIN,R21-212572,91.020,9885
V24-023570,CITATION,P405616,2024/01/23 23:51:00+00,A24-125313-3,TRANSPORT ANIMAL,OFFICER ASHLEY,40211,02/13/24,,,,,,91.020,9886
V22-019142,WARNING,01-50951,2022/07/05 17:50:00+00,A22-104526-4,INVESTIGAT NEGLI,OFFICER FORNER,40215,,,2022/07/20 13:50:00,2022/08/04 00:00:00,DISMISSED,,91.090,9887
V21-016380,VIOL CTER,VR21-216582,2021/06/12 18:07:00+00,,,,40218,,,2021/06/12 14:13:00,2021/06/12 00:00:00,COMPLIED,R21-216582,91.002,9888
V22-019034,VIOL 71,04-2004,2022/06/20 20:13:00+00,A22-104066-2,TRANSPORT ANIMAL,OFFICER HALL,40206,,,2022/08/22 00:00:00,2022/08/22 00:00:00,COMPLIED,R22-256475,91.002,9889
V22-019142,WARNING,01-50951,2022/07/05 17:50:00+00,A22-104526-4,INVESTIGAT NEGLI,OFFICER FORNER,40215,,,2022/07/20 13:50:00,2022/08/04 00:00:00,DISMISSED,,91.091,9890
V24-023571,VET,01-1456,2024/01/23 23:51:00+00,A24-125313-3,TRANSPORT ANIMAL,OFFICER ASHLEY,40211,,,2024/01/24 18:51:00,2024/01/24 00:00:00,COMPLIED,,91.090,9891
V20-015101,V71/CP,04-3731,2021/03/08 18:05:00+00,A20-085232-1,TRANSPORT ANIMAL,OFFICER STEWART,40216,03/18/21,V20-015101,2021/02/05 00:00:00,,HAND ADMIN,R21-212572,91.071,9892
V21-016380,VIOL CTER,VR21-216582,2021/06/12 18:07:00+00,,,,40218,,,2021/06/12 14:13:00,2021/06/12 00:00:00,COMPLIED,R21-216582,91.020,9893
V22-019035,VIOL CTER,VR22-252198,2022/06/20 21:58:00+00,A22-104071-1,XTRA SERVE VIOL OTC,OFFICER HALL,40218,,,2022/07/20 00:00:00,2022/06/21 00:00:00,COMPLIED,R22-252198,91.002,9894
V22-018805,WARNING,01-50288,2022/05/21 13:32:00+00,A22-102844-1,OWNED AGGRESSIVE,OFFICER CARPENTER,40219,,,2022/07/01 00:00:00,2022/06/28 00:00:00,COMPLIED,R22-252941,91.020,9895
V24-023572,VIOL 71,04-3357,2024/01/23 23:51:00+00,,,,40211,,,2024/02/23 00:00:00,2024/01/24 00:00:00,VOID,,91.002,9896
V20-015114,VIOL NOTIC,01-50160,2020/10/02 22:42:00+00,A20-085333-1,STRAY POSS OWNED,OFFICER SABATINI,40229,,,2020/12/02 18:00:00,2020/12/01 00:00:00,COMPLIED,R20-207511,91.002,9897
V21-016380,VIOL CTER,VR21-216582,2021/06/12 18:07:00+00,,,,40218,,,2021/06/12 14:13:00,2021/06/12 00:00:00,COMPLIED,R21-216582,91.071,9898
V22-019035,VIOL CTER,VR22-252198,2022/06/20 21:58:00+00,A22-104071-1,XTRA SERVE VIOL OTC,OFFICER HALL,40218,,,2022/07/20 00:00:00,2022/06/21 00:00:00,COMPLIED,R22-252198,91.071,9899
V22-018806,CIT DD/PDD,P193901,2022/05/21 13:29:00+00,A22-102807-4,INVESTIGAT BITE,OFFICER THOMPSON,40258,06/21/22,,,,,,91.150,9900
V24-023572,VIOL 71,04-3357,2024/01/23 23:51:00+00,,,,40211,,,2024/02/23 00:00:00,2024/01/24 00:00:00,VOID,,91.020,9901
V20-015114,VIOL NOTIC,01-50160,2020/10/02 22:42:00+00,A20-085333-1,STRAY POSS OWNED,OFFICER SABATINI,40229,,,2020/12/02 18:00:00,2020/12/01 00:00:00,COMPLIED,R20-207511,91.020,9902
V21-016381,VIOL RED,VR21-216584,2021/06/12 18:52:00+00,,,,40218,,,2021/07/12 00:00:00,2021/07/08 00:00:00,COMPLIED,R21-216582,91.002,9903
V22-019036,VET,01-50644,2022/06/20 21:07:00+00,A22-104072-1,XTRA SERVE VIOL OTC,OFFICER HALL,40218,,,2022/06/21 17:07:00,2022/06/25 00:00:00,COMPLIED,R22-252199,91.090,9904
V22-018806,CIT DD/PDD,P193901,2022/05/21 13:29:00+00,A22-102807-4,INVESTIGAT BITE,OFFICER THOMPSON,40258,06/21/22,,,,,,91.072,9905
V24-023572,VIOL 71,04-3357,2024/01/23 23:51:00+00,,,,40211,,,2024/02/23 00:00:00,2024/01/24 00:00:00,VOID,,91.071,9906
V19-012941,VN/CITE,01-51162,2020/01/09 02:14:00+00,A19-076013-1,STRAY AGGRS,OFFICER PETERSON,40211,01/22/20,P194245,2020/01/04 18:00:00,,CONV CITA,,91.002,9907
V21-016381,VIOL RED,VR21-216584,2021/06/12 18:52:00+00,,,,40218,,,2021/07/12 00:00:00,2021/07/08 00:00:00,COMPLIED,R21-216582,91.020,9908
V22-019037,VRED/CP,VR22-252199,2022/08/22 22:46:00+00,A22-104072-1,XTRA SERVE VIOL OTC,OFFICER HALL,40218,10/13/22,V22-019037,2022/08/22 00:00:00,,LIEN,,91.002,9909
V22-018806,CIT DD/PDD,P193901,2022/05/21 13:29:00+00,A22-102807-4,INVESTIGAT BITE,OFFICER THOMPSON,40258,06/21/22,,,,,,91.020,9910
V24-023573,VIOL 71,04-3357,2024/01/23 23:51:00+00,,,,40211,,,2024/02/02 00:00:00,2024/01/24 00:00:00,VOID,,91.071,9911
V24-023575,VOTC/CITE,VR24-295911,2024/01/24 20:30:00+00,,,,40218,03/13/24,P360446,2024/01/24 15:30:00,,CONV CITA,,91.002,9912
V24-023575,VOTC/CITE,VR24-295911,2024/01/24 20:30:00+00,,,,40218,03/13/24,P360446,2024/01/24 15:30:00,,CONV CITA,,91.020,9913
V24-023575,VOTC/CITE,VR24-295911,2024/01/24 20:30:00+00,,,,40218,03/13/24,P360446,2024/01/24 15:30:00,,CONV CITA,,91.071,9914
V24-023575,VOTC/CITE,VR24-295911,2024/01/24 20:30:00+00,,,,40218,03/13/24,P360446,2024/01/24 15:30:00,,CONV CITA,,91.002,9915
V24-023575,VOTC/CITE,VR24-295911,2024/01/24 20:30:00+00,,,,40218,03/13/24,P360446,2024/01/24 15:30:00,,CONV CITA,,91.020,9916
V24-023575,VOTC/CITE,VR24-295911,2024/01/24 20:30:00+00,,,,40218,03/13/24,P360446,2024/01/24 15:30:00,,CONV CITA,,91.071,9917
V24-023576,WARN/CP,01-1602,2024/07/08 11:55:00+00,A23-124019-3,INVESTIGAT NEGLI,OFFICER STIVALA,40211,07/18/24,V24-023576,2024/07/06 19:01:00,2024/07/17 00:00:00,COMPLIED,R24-301599,91.020,9918
V24-023576,WARN/CP,01-1602,2024/07/08 11:55:00+00,A23-124019-3,INVESTIGAT NEGLI,OFFICER STIVALA,40211,07/18/24,V24-023576,2024/07/06 19:01:00,2024/07/17 00:00:00,COMPLIED,R24-301599,91.020,9919
V24-023576,WARN/CP,01-1602,2024/07/08 11:55:00+00,A23-124019-3,INVESTIGAT NEGLI,OFFICER STIVALA,40211,07/18/24,V24-023576,2024/07/06 19:01:00,2024/07/17 00:00:00,COMPLIED,R24-301599,91.020,9920
V21-016400,VIOL CTER,VR21-216785,2021/06/15 19:36:00+00,,,,40218,,,2021/06/15 16:03:00,2021/06/15 00:00:00,COMPLIED,R21-216785,91.071,9921
V19-012941,VN/CITE,01-51162,2020/01/09 02:14:00+00,A19-076013-1,STRAY AGGRS,OFFICER PETERSON,40211,01/22/20,P194245,2020/01/04 18:00:00,,CONV CITA,,91.020,9922
V21-016381,VIOL RED,VR21-216584,2021/06/12 18:52:00+00,,,,40218,,,2021/07/12 00:00:00,2021/07/08 00:00:00,COMPLIED,R21-216582,91.071,9923
V22-019037,VRED/CP,VR22-252199,2022/08/22 22:46:00+00,A22-104072-1,XTRA SERVE VIOL OTC,OFFICER HALL,40218,10/13/22,V22-019037,2022/08/22 00:00:00,,LIEN,,91.071,9924
V21-016422,CIVIL PEN,02-100866,2021/06/19 20:44:00+00,A21-091604-3,OWNED AGGRESSIVE,OFFICER MCKECHNIE,40216,,,2021/10/17 18:00:00,2021/12/23 00:00:00,COMPLIED,R21-236147,91.002,9925
V20-015025,VIOL NOTIC,01-50175,2020/09/09 23:31:00+00,A20-084041-4,INVESTIGAT NEGLI,OFFICER FORNER,40211,,,2020/12/24 00:00:00,2020/12/29 00:00:00,DISMISSED,,91.020,9926
V21-016399,VIOL CTER,VR21-216774,2021/06/15 18:52:00+00,,,,40218,,,2021/06/15 16:03:00,2021/06/15 00:00:00,COMPLIED,R21-216774,91.002,9927
V22-018808,VET/CRIM,VR22-249751,2022/09/12 15:11:00+00,,,,40218,,4338031,2022/07/01 00:00:00,,CONV CRIM,,91.090,9928
V21-016423,CIT DD/PDD,N918612,2021/06/19 22:03:00+00,A21-092014-3,INVESTIGAT BITE,OFFICER MCKECHNIE,40216,07/07/21,,,,,,91.150,9929
V20-015162,VIOL CTER,VR20-205477,2020/10/13 18:23:00+00,,,,40218,,,2020/10/13 14:23:00,2020/10/13 00:00:00,COMPLIED,R20-205477,91.002,9930
V21-016399,VIOL CTER,VR21-216774,2021/06/15 18:52:00+00,,,,40218,,,2021/06/15 16:03:00,2021/06/15 00:00:00,COMPLIED,R21-216774,91.020,9931
V22-018807,WARNING,01-50495,2022/05/21 15:48:00+00,A22-102852-2,OWNED AGGRESSIVE,OFFICER THOMPSON,40258,,,2022/06/21 00:00:00,2022/05/21 00:00:00,COMPLIED,R22-249834,91.020,9932
V22-018809,VRED/CRIM,VR22-249751,2022/09/12 15:11:00+00,,,,40218,,4338031,2022/09/01 00:00:00,,CONV CRIM,,91.071,9933
V21-016423,CIT DD/PDD,N918612,2021/06/19 22:03:00+00,A21-092014-3,INVESTIGAT BITE,OFFICER MCKECHNIE,40216,07/07/21,,,,,,91.072,9934
V20-015162,VIOL CTER,VR20-205477,2020/10/13 18:23:00+00,,,,40218,,,2020/10/13 14:23:00,2020/10/13 00:00:00,COMPLIED,R20-205477,91.020,9935
V21-016399,VIOL CTER,VR21-216774,2021/06/15 18:52:00+00,,,,40218,,,2021/06/15 16:03:00,2021/06/15 00:00:00,COMPLIED,R21-216774,91.071,9936
V22-018810,WARNING,01-50289,2022/05/21 14:36:00+00,A22-102861-1,OWNED AGGRESSIVE,OFFICER CARPENTER,40219,,,2022/12/05 00:00:00,2022/12/27 00:00:00,COMPLIED,,91.020,9937
V22-018816,WARN/CP,01-50290,2023/01/30 15:46:00+00,A22-101663-2,OWNED AGGRESSIVE,OFFICER CARPENTER,40213,02/09/23,V22-018816,2023/01/30 00:00:00,,HAND ADMIN,,91.020,9938
V21-016423,CIT DD/PDD,N918612,2021/06/19 22:03:00+00,A21-092014-3,INVESTIGAT BITE,OFFICER MCKECHNIE,40216,07/07/21,,,,,,91.020,9939
V21-016399,VIOL CTER,VR21-216774,2021/06/15 18:52:00+00,,,,40218,,,2021/06/15 16:03:00,2021/06/15 00:00:00,COMPLIED,R21-216774,91.002,9940
V22-018811,CITATION,P193680,2022/05/21 16:26:00+00,A22-102982-1,ASSIST POLICE,OFFICER CARPENTER,40228,06/23/22,,,,,,91.020,9941
V20-015162,VIOL CTER,VR20-205477,2020/10/13 18:23:00+00,,,,40218,,,2020/10/13 14:23:00,2020/10/13 00:00:00,COMPLIED,R20-205477,91.071,9942
V21-016399,VIOL CTER,VR21-216774,2021/06/15 18:52:00+00,,,,40218,,,2021/06/15 16:03:00,2021/06/15 00:00:00,COMPLIED,R21-216774,91.020,9943
V22-018023,VRED/CP,VR22-241951,2022/04/27 12:06:00+00,,,,40218,05/07/22,V22-018023,2022/04/16 00:00:00,,HAND ADMIN,,91.071,9944
V20-015168,VIOL CTER,VR20-205539,2020/10/14 18:44:00+00,,,,40218,,,2020/10/14 14:44:00,2020/10/14 00:00:00,COMPLIED,R20-205539,91.002,9945
V22-018811,CITATION,P193680,2022/05/21 16:26:00+00,A22-102982-1,ASSIST POLICE,OFFICER CARPENTER,40228,06/23/22,,,,,,91.020,9946
V21-016399,VIOL CTER,VR21-216774,2021/06/15 18:52:00+00,,,,40218,,,2021/06/15 16:03:00,2021/06/15 00:00:00,COMPLIED,R21-216774,91.071,9947
V22-017884,VET,VR22-237808,2022/01/29 18:58:00+00,,,,40218,,,2022/01/31 00:00:00,2022/01/31 00:00:00,COMPLIED,,91.090,9948
V20-015168,VIOL CTER,VR20-205539,2020/10/14 18:44:00+00,,,,40218,,,2020/10/14 14:44:00,2020/10/14 00:00:00,COMPLIED,R20-205539,91.020,9949
V22-018812,CIT DD/PDD,P366608,2022/05/21 17:57:00+00,A22-102580-6,INVESTIGAT BITE,OFFICER CLARK,40216,06/08/22,,,,,,91.150,9950
V21-016400,VIOL CTER,VR21-216785,2021/06/15 19:36:00+00,,,,40218,,,2021/06/15 16:03:00,2021/06/15 00:00:00,COMPLIED,R21-216785,91.002,9951
V22-017889,CIVIL PEN,02-100606,2022/01/30 19:15:00+00,A22-099009-1,OWNED AGGRESSIVE,OFFICER MCMICHAEL,40245,,,2022/02/09 18:00:00,2022/07/01 00:00:00,COMPLIED,R22-253121,91.004,9952
V20-015168,VIOL CTER,VR20-205539,2020/10/14 18:44:00+00,,,,40218,,,2020/10/14 14:44:00,2020/10/14 00:00:00,COMPLIED,R20-205539,91.071,9953
V22-018812,CIT DD/PDD,P366608,2022/05/21 17:57:00+00,A22-102580-6,INVESTIGAT BITE,OFFICER CLARK,40216,06/08/22,,,,,,91.072,9954
V22-017895,VIOL CTER,VR22-237924,2022/01/31 22:06:00+00,,,,40218,,,2022/01/31 17:06:00,2022/01/31 00:00:00,COMPLIED,R22-237924,91.002,9955
V20-015171,VIOL CTER,VR20-205589,2020/10/15 18:12:00+00,,,,40218,,,2020/10/15 14:12:00,2020/10/15 00:00:00,COMPLIED,R20-205589,91.002,9956
V22-018812,CIT DD/PDD,P366608,2022/05/21 17:57:00+00,A22-102580-6,INVESTIGAT BITE,OFFICER CLARK,40216,06/08/22,,,,,,91.020,9957
V22-017896,VIOL CTER,VR22-237909,2022/01/31 18:20:00+00,,,,40218,,,2022/01/31 13:20:00,2022/01/31 00:00:00,COMPLIED,R22-237909,91.002,9958
V22-018813,CIVIL PEN,02-101284,2022/05/21 21:47:00+00,A22-101658-2,NUISANCE BARK,OFFICER MCKECHNIE,40229,,,2022/06/30 00:00:00,,LIEN,R22-258372,91.004,9959
V22-017896,VIOL CTER,VR22-237909,2022/01/31 18:20:00+00,,,,40218,,,2022/01/31 13:20:00,2022/01/31 00:00:00,COMPLIED,R22-237909,91.020,9960
V22-018814,VOTC/CITE,VR22-249782,2022/05/21 18:11:00+00,,,,40218,06/20/22,P193889,2022/05/31 00:00:00,,CONV CITA,,91.002,9961
V22-017896,VIOL CTER,VR22-237909,2022/01/31 18:20:00+00,,,,40218,,,2022/01/31 13:20:00,2022/01/31 00:00:00,COMPLIED,R22-237909,91.071,9962
V22-018814,VOTC/CITE,VR22-249782,2022/05/21 18:11:00+00,,,,40218,06/20/22,P193889,2022/05/31 00:00:00,,CONV CITA,,91.020,9963
V22-017897,VET,VR22-237929,2022/01/31 23:00:00+00,,,,40218,,,2022/01/31 00:00:00,2022/02/01 00:00:00,COMPLIED,,91.090,9964
V22-017898,VOTC/CRIM,VR22-237929,2022/09/11 18:01:00+00,,,,40218,,4331460,2022/07/27 00:00:00,,CONV CRIM,,91.002,9965
V22-017898,VOTC/CRIM,VR22-237929,2022/09/11 18:01:00+00,,,,40218,,4331460,2022/07/27 00:00:00,,CONV CRIM,,91.020,9966
V22-017898,VOTC/CRIM,VR22-237929,2022/09/11 18:01:00+00,,,,40218,,4331460,2022/07/27 00:00:00,,CONV CRIM,,91.071,9967
V22-017900,VET,VR22-237803,2022/01/31 21:30:00+00,,,,40218,,,2022/02/02 00:00:00,2022/02/02 00:00:00,COMPLIED,,91.090,9968
V22-017901,VIOL CTER,VR22-237803,2022/01/31 21:30:00+00,,,,40218,,,2022/01/31 00:00:00,2022/01/31 00:00:00,COMPLIED,R22-237803,91.002,9969
V22-017901,VIOL CTER,VR22-237803,2022/01/31 21:30:00+00,,,,40218,,,2022/01/31 00:00:00,2022/01/31 00:00:00,COMPLIED,R22-237803,91.020,9970
V22-017901,VIOL CTER,VR22-237803,2022/01/31 21:30:00+00,,,,40218,,,2022/01/31 00:00:00,2022/01/31 00:00:00,COMPLIED,R22-237803,91.071,9971
V22-017902,VOTC/CITE,VR22-237920,2022/01/31 20:55:00+00,,,,40218,03/03/22,P361968,2022/01/31 15:55:00,,CONV CITA,,91.002,9972
V22-017902,VOTC/CITE,VR22-237920,2022/01/31 20:55:00+00,,,,40218,03/03/22,P361968,2022/01/31 15:55:00,,CONV CITA,,91.020,9973
V22-017902,VOTC/CITE,VR22-237920,2022/01/31 20:55:00+00,,,,40218,03/03/22,P361968,2022/01/31 15:55:00,,CONV CITA,,91.071,9974
V22-017930,VIOL 71,04-3579,2022/02/09 00:20:00+00,A22-099357-1,TRANSPORT ANIMAL,OFFICER COLLINS,40206,,,2022/02/22 18:00:00,2022/02/09 00:00:00,COMPLIED,,91.002,9975
V22-017930,VIOL 71,04-3579,2022/02/09 00:20:00+00,A22-099357-1,TRANSPORT ANIMAL,OFFICER COLLINS,40206,,,2022/02/22 18:00:00,2022/02/09 00:00:00,COMPLIED,,91.020,9976
V22-017931,VIOL 71,04-3579,2022/02/09 00:20:00+00,,,,40206,,,2022/02/17 18:00:00,2022/02/09 00:00:00,COMPLIED,,91.071,9977
V22-017972,VET,01-50546,2022/02/16 18:41:00+00,A22-099565-1,STRAY SICK,OFFICER THOMPSON,,,,2022/02/17 00:00:00,2022/02/18 00:00:00,COMPLIED,,91.090,9978
V22-017972,VET,01-50546,2022/02/16 18:41:00+00,A22-099565-1,STRAY SICK,OFFICER THOMPSON,,,,2022/02/17 00:00:00,2022/02/18 00:00:00,COMPLIED,,91.0090,9979
V22-018024,VIOL CTER,VR22-241999,2022/02/24 20:20:00+00,,,,40258,,,2022/02/24 15:20:00,2022/02/24 00:00:00,COMPLIED,R22-241999,91.002,9980
V22-018024,VIOL CTER,VR22-241999,2022/02/24 20:20:00+00,,,,40258,,,2022/02/24 15:20:00,2022/02/24 00:00:00,COMPLIED,R22-241999,91.020,9981
V22-018045,CIVIL PEN,02-101475,2022/02/28 21:09:00+00,A22-099971-1,OWNED AGGRESSIVE,OFFICER GOODMAN,40216,,,2022/05/15 00:00:00,,HAND ADMIN,,91.004,9982
V22-018048,VIOL CTER,VR22-242106,2022/03/01 18:11:00+00,,,,40218,,,2022/03/01 13:23:00,2022/03/01 00:00:00,COMPLIED,R22-242106,91.002,9983
V22-018048,VIOL CTER,VR22-242106,2022/03/01 18:11:00+00,,,,40218,,,2022/03/01 13:23:00,2022/03/01 00:00:00,COMPLIED,R22-242106,91.020,9984
V22-018048,VIOL CTER,VR22-242106,2022/03/01 18:11:00+00,,,,40218,,,2022/03/01 13:23:00,2022/03/01 00:00:00,COMPLIED,R22-242106,91.071,9985
V22-018055,WARN/CP,01-50508,2022/09/28 17:59:00+00,A22-100019-2,INVESTIGAT FOLLOW UP,OFFICER SABATINI,40214,10/08/22,V22-018055,2022/08/26 18:00:00,,HAND ADMIN,,91.020,9986
V22-018059,WARNING,01-50480,2022/03/02 19:22:00+00,A22-099948-2,INVESTIGAT NEGLI,OFFICER THOMPSON,40218,,,2022/06/02 00:00:00,2022/07/04 00:00:00,COMPLIED,R22-250732,91.020,9987
V22-018059,WARNING,01-50480,2022/03/02 19:22:00+00,A22-099948-2,INVESTIGAT NEGLI,OFFICER THOMPSON,40218,,,2022/06/02 00:00:00,2022/07/04 00:00:00,COMPLIED,R22-250732,91.020,9988
V22-018072,WARN/CP,01-50602,2022/06/06 14:57:00+00,A22-100142-1,INVESTIGAT NEGLI,OFFICER HARRIS,40219,06/16/22,V22-018072,2022/05/26 00:00:00,2022/09/16 00:00:00,DISMISSED,R22-255586,91.020,9989
V22-018072,WARN/CP,01-50602,2022/06/06 14:57:00+00,A22-100142-1,INVESTIGAT NEGLI,OFFICER HARRIS,40219,06/16/22,V22-018072,2022/05/26 00:00:00,2022/09/16 00:00:00,DISMISSED,R22-255586,91.020,9990
V22-018072,WARN/CP,01-50602,2022/06/06 14:57:00+00,A22-100142-1,INVESTIGAT NEGLI,OFFICER HARRIS,40219,06/16/22,V22-018072,2022/05/26 00:00:00,2022/09/16 00:00:00,DISMISSED,R22-255586,91.020,9991
V22-018072,WARN/CP,01-50602,2022/06/06 14:57:00+00,A22-100142-1,INVESTIGAT NEGLI,OFFICER HARRIS,40219,06/16/22,V22-018072,2022/05/26 00:00:00,2022/09/16 00:00:00,DISMISSED,R22-255586,91.020,9992
V22-018072,WARN/CP,01-50602,2022/06/06 14:57:00+00,A22-100142-1,INVESTIGAT NEGLI,OFFICER HARRIS,40219,06/16/22,V22-018072,2022/05/26 00:00:00,2022/09/16 00:00:00,DISMISSED,R22-255586,91.020,9993
V22-018073,CIT DD/PDD,P193774,2022/03/04 15:03:00+00,A22-100122-3,STRAY AGGRS,OFFICER COGBURN,40215,03/25/22,,,,,,91.002,9994
V22-018073,CIT DD/PDD,P193774,2022/03/04 15:03:00+00,A22-100122-3,STRAY AGGRS,OFFICER COGBURN,40215,03/25/22,,,,,,91.020,9995
V22-018073,CIT DD/PDD,P193774,2022/03/04 15:03:00+00,A22-100122-3,STRAY AGGRS,OFFICER COGBURN,40215,03/25/22,,,,,,91.150,9996
V22-018082,VIOL CTER,VR22-244186,2022/03/05 17:50:00+00,,,,40218,,,2022/03/05 12:50:00,2022/03/05 00:00:00,COMPLIED,R22-244186,91.002,9997
V22-018082,VIOL CTER,VR22-244186,2022/03/05 17:50:00+00,,,,40218,,,2022/03/05 12:50:00,2022/03/05 00:00:00,COMPLIED,R22-244186,91.020,9998
V22-018082,VIOL CTER,VR22-244186,2022/03/05 17:50:00+00,,,,40218,,,2022/03/05 12:50:00,2022/03/05 00:00:00,COMPLIED,R22-244186,91.071,9999
V22-018082,VIOL CTER,VR22-244186,2022/03/05 17:50:00+00,,,,40218,,,2022/03/05 12:50:00,2022/03/05 00:00:00,COMPLIED,R22-244186,91.002,10000
V22-018838,VOTC/CITE,VR22-250160,2022/05/25 21:55:00+00,,,,40218,06/22/22,P193891,2022/05/25 17:55:00,2022/05/25 00:00:00,CONV CITA,R22-250160,91.020,10001
V22-018838,VOTC/CITE,VR22-250160,2022/05/25 21:55:00+00,,,,40218,06/22/22,P193891,2022/05/25 17:55:00,2022/05/25 00:00:00,CONV CITA,R22-250160,91.090,10002
V20-015452,VIOL CTER,VR20-207944,2020/12/10 21:43:00+00,,,,40218,,,2020/12/10 16:43:00,2020/12/10 00:00:00,COMPLIED,R20-207944,91.002,10003
V22-018839,VIOL RED,VR22-250160,2022/05/25 21:55:00+00,,,,40218,06/22/22,P193891,2022/06/01 00:00:00,,CONV CITA,R22-250160,91.002,10004
V22-018839,VIOL RED,VR22-250160,2022/05/25 21:55:00+00,,,,40218,06/22/22,P193891,2022/06/01 00:00:00,,CONV CITA,R22-250160,91.020,10005
V20-015452,VIOL CTER,VR20-207944,2020/12/10 21:43:00+00,,,,40218,,,2020/12/10 16:43:00,2020/12/10 00:00:00,COMPLIED,R20-207944,91.020,10006
V22-018839,VIOL RED,VR22-250160,2022/05/25 21:55:00+00,,,,40218,06/22/22,P193891,2022/06/01 00:00:00,,CONV CITA,R22-250160,91.071,10007
V20-015452,VIOL CTER,VR20-207944,2020/12/10 21:43:00+00,,,,40218,,,2020/12/10 16:43:00,2020/12/10 00:00:00,COMPLIED,R20-207944,91.071,10008
V20-015463,VIOL RED,VR20-208083,2020/12/15 23:24:00+00,A20-087239-1,XTRA SERVE,OFFICER FORNER,40218,,,2021/01/15 00:00:00,2021/01/16 00:00:00,COMPLIED,,91.002,10009
V22-018840,VET,01-50639,2022/05/25 21:55:00+00,A22-103147-1,VET NOTICE FOLLOW UP,OFFICER COLLINS,40212,,,2022/06/03 00:00:00,2022/06/07 00:00:00,DISMISSED,,91.090,10010
V20-015463,VIOL RED,VR20-208083,2020/12/15 23:24:00+00,A20-087239-1,XTRA SERVE,OFFICER FORNER,40218,,,2021/01/15 00:00:00,2021/01/16 00:00:00,COMPLIED,,91.020,10011
V22-018854,CITATION,P193709,2022/05/28 18:01:00+00,A22-103233-1,ASSIST POLICE,OFFICER COLLINS,40215,09/27/22,,,,,,91.090,10012
V20-015463,VIOL RED,VR20-208083,2020/12/15 23:24:00+00,A20-087239-1,XTRA SERVE,OFFICER FORNER,40218,,,2021/01/15 00:00:00,2021/01/16 00:00:00,COMPLIED,,91.071,10013
V22-018854,CITATION,P193709,2022/05/28 18:01:00+00,A22-103233-1,ASSIST POLICE,OFFICER COLLINS,40215,09/27/22,,,,,,91.020,10014
V20-015465,CIVIL PEN,02-100775,2020/12/16 14:06:00+00,A20-087238-3,OWNED AGGRESSIVE,OFFICER COGBURN,40210,,,2020/12/26 08:00:00,,HAND ADMIN,,91.004,10015
V22-018854,CITATION,P193709,2022/05/28 18:01:00+00,A22-103233-1,ASSIST POLICE,OFFICER COLLINS,40215,09/27/22,,,,,,91.025,10016
V20-015465,CIVIL PEN,02-100775,2020/12/16 14:06:00+00,A20-087238-3,OWNED AGGRESSIVE,OFFICER COGBURN,40210,,,2020/12/26 08:00:00,,HAND ADMIN,,91.020,10017
V22-018855,WARNING,01-50900,2022/05/28 22:25:00+00,A22-103238-1,INVESTIGAT PET IN CAR,OFFICER BELCHER,40202,,,2022/07/28 18:25:00,2022/07/27 00:00:00,DISMISSED,,91.020,10018
V21-015538,CIT DD/PDD,N918840,2021/01/04 00:04:00+00,A20-087473-5,INVESTIGAT ANI ATTACK,OFFICER FORNER,40210,04/05/21,,,,,,91.020,10019
V22-018858,CIT DD/PDD,P362537,2022/05/29 13:24:00+00,A22-103046-4,INVESTIGAT ANI ATTACK,OFFICER RATLIFF,40223,06/23/22,,,,,,91.150,10020
V21-015538,CIT DD/PDD,N918840,2021/01/04 00:04:00+00,A20-087473-5,INVESTIGAT ANI ATTACK,OFFICER FORNER,40210,04/05/21,,,,,,91.020,10021
V22-018858,CIT DD/PDD,P362537,2022/05/29 13:24:00+00,A22-103046-4,INVESTIGAT ANI ATTACK,OFFICER RATLIFF,40223,06/23/22,,,,,,91.020,10022
V21-015538,CIT DD/PDD,N918840,2021/01/04 00:04:00+00,A20-087473-5,INVESTIGAT ANI ATTACK,OFFICER FORNER,40210,04/05/21,,,,,,91.150,10023
V22-018860,VIOL CTER,VR22-250524,2022/05/29 16:57:00+00,,,,40218,,,2022/05/29 13:00:00,2022/05/29 00:00:00,COMPLIED,R22-250524,91.002,10024
V21-015538,CIT DD/PDD,N918840,2021/01/04 00:04:00+00,A20-087473-5,INVESTIGAT ANI ATTACK,OFFICER FORNER,40210,04/05/21,,,,,,91.150,10025
